1.07.00.07 Экономикалык ишмердиктин              ,1.07.00.07 Численность работников ,"1.07.00.07 Number of employees of enterprises, ",,,,,,,,,,,,,,,,
"түрлөрү (ЭИМК-2) боюнча ишканалардын,    ","предприятий,  организаций по видам ",organizations bu type of economic activity ,,,,,,,,,,,,,,,,
уюмдардын кызматкерлеринин саны ,экономической деятельности (ГКЭД-2),(NACE-2),,,,,,,,,,,,,,,,
(адам),(человек), (persons) ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Көрсөткүчтөрдү иштетүүнүн  мезгилдүүлүгү: ,Периодичность разработки показателей:,Freguency of development indicators: ,,,,,,,,,,,,,,,,
айлык - отчеттук мезгилден кийинки , месячная - через 2 месяца после отчетного ,monthly - 2 months after the reporting period;,,,,,,,,,,,,,,,,
 2 айдан кийин;,периода;  ,annual -  6 months after the reporting period. ,,,,,,,,,,,,,,,,
жылдык - отчеттук мезгилден кийинки ,годовая - через 6 месяцев после отчетного периода.   ,,,,,,,,,,,,,,,,,
6 айдан кийин ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Көрсөткүчтөрдүн аталышы,Наименование показателей,Items,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,,,,,,,,,,,,,,,,,,
Бардыгы,Всего,Total,678280,649402,623186,594920,571301,560368,554566,550009,533277,559741,573858,563334,559368.1,571218.5,597525.9,581391
,,,,,,,,,,,,,,,,,,
"Айыл чарба, аңчылык жана токой чарбасы","Сельское хозяйство, охота и лесное хозяйство","Agriculture, hunting and forestry",86549,72693,59455,45918,40405,38475,35553,30473,27732,22061,20129,18578,17839.4,17026.3,15395.6,14392.4
"Балык уулоочулук, балык өстүрүүчүлүк",Рыболовство и рыбоводство,Fishing and fishery,130,448,104,768,132,343,59,65,53,92,99,93,89,104,78,80
Тоо кен казуу өнөр жайы,Горнодобывающая промышленность,Mining industry,8244,6677,6310,5444,5534,4940,5961,5881,5696,5749,5942,6243,6351.6,6364.1,7787.1,8310.6
Иштетүү өнөр жайы,Обрабатывающая промышленность,Manufacturing industry,105926,105501,93634,89246,83368,79434,74364,72044,68238,67805,65240,58489,54045.2,52841.8,49658.9,49902.7
"Электр энергиясын, газ менен сууну өндүрүү жана бөлүштүрүү","Производство и распределение электроэнергии, газа и воды ",Production and distribution of electricity gas nad water,20260,21661,19851,21053,21745,22328,23830,24277,24638,25151,25198,25720,26850,27659.4,26698.8,26246.2
Курулуш,Строительство,Construction,36501,34923,33487,30734,27672,26145,25405,24027,21696,23392,25779,22901,19860.4,19319.8,18092,17551.4
"Соода; автомобилдерди, турмуш-тиричилик буюмдарын жана жеке керектелүүчү нерселерди оңдоо","Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","Trade and repair of motor vehicles, household appliances and articles of personal use",39696,32001,32881,28953,26131,24148,20567,20751,22531,23226,24253,22842,21896.4,24050.6,23669.1,24705.4
Мейманканалар жана ресторандар,Гостиницы и рестораны,Hotels and restaurants,6169,5050,5601,5191,4461,4734,3548,3641,4398,4065,3981,4486,3344.1,3578,3544,3799.9
Транспорт жана байланыш,Транспорт и связь,Transport and communication,54415,51516,48017,45386,43252,39559,36484,35246,34181,33243,32606,32522,31768.7,31764.3,31964.2,31393.3
Финансы ишмердиги,Финансовая деятельность,Financial activity,6758,6691,6588,6186,5811,6257,6459,6552,8069,12241,14277,15120,15496,17690.6,19853.8,19934.1
"Кыймылсыз мүлк операциялары, ижара жана керектөөчүлөргө тейлөө көрсөтүү","Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Real estate operations and rent services,30940,28070,27789,27360,26257,25625,27743,28361,28967,34138,37967,36491,38746.5,40843.6,41972.8,40974.6
Мамлекеттик башкаруу,Государственное управление,Government management,40282,38040,39443,39245,42559,44605,48078,49653,51836,50756,54563,54481,56818.1,60885.5,62489.5,61487.7
Билим берүү,Образование,Education,137108,139816,144095,144161,146209,148717,150079,152678,139909,153923,155693,157505,156984.9,158712.1,181161.4,176395.5
Саламаттыкты сактоо жана социалдык тейлөөлөрдү көрсөтүү,Здравоохранение и предоставление социальных услуг,Health care and social services,82794,83493,82728,79958,73624,68686,67526,66632,65553,66160,65395,65162,66666.6,67407.2,69055.4,69795.8
"Коммуналдык, социалдык жана жеке тейлөөлөрдү көрсөтүү","Предоставление коммунальных, социальных и персональных услуг","Housing,social and personal services",22508,22822,23203,25317,24141,26372,28910,29728,29780,37739,42737,42701,42610.2,42971.2,46105.3,36421.3
